,IP Address,Domain,Timestamp,Method,Path,Protocol,Status,Size,Referrer
34,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:56+0000],GET,/portal/legal/get-list-ticket?draw=1&columns%5B0%5D%5Bdata%5D=id&columns%5B0%5D%5Bname%5D=id&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=summary&columns%5B1%5D%5Bname%5D=summary&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=admin.name&columns%5B2%5D%5Bname%5D=assignee&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=created_at&columns%5B3%5D%5Bname%5D=created&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=updated_at&columns%5B4%5D%5Bname%5D=updated&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=status&columns%5B5%5D%5Bname%5D=status&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&order%5B0%5D%5Bname%5D=id&start=0&length=10&search%5Bvalue%5D=&search%5Bregex%5D=false&ticket_status=all&_=1751106655898,HTTP/2.0,200,61,https://services.ycab.org/portal/legal/list-ticket
35,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:57+0000],GET,/portal/legal/create-ticket,HTTP/2.0,200,4817,https://services.ycab.org/portal/legal/list-ticket
36,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:57+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
37,139.192.48.75,services.ycab.org,[28/Jun/2025:10:30:59+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
38,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:03+0000],GET,/portal/hc/list-ticket,HTTP/2.0,200,3568,https://services.ycab.org/
39,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:03+0000],GET,/portal/hc/get-list-ticket?draw=1&columns%5B0%5D%5Bdata%5D=id&columns%5B0%5D%5Bname%5D=id&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=summary&columns%5B1%5D%5Bname%5D=summary&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=admin.name&columns%5B2%5D%5Bname%5D=assignee&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=created_at&columns%5B3%5D%5Bname%5D=created&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=updated_at&columns%5B4%5D%5Bname%5D=updated&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=status&columns%5B5%5D%5Bname%5D=status&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&order%5B0%5D%5Bname%5D=id&start=0&length=10&search%5Bvalue%5D=&search%5Bregex%5D=false&ticket_status=all&_=1751106663217,HTTP/2.0,200,61,https://services.ycab.org/portal/hc/list-ticket
40,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:04+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
41,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:05+0000],GET,/portal/hc/create-ticket,HTTP/2.0,200,4718,https://services.ycab.org/portal/hc/list-ticket
42,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:06+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
43,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:33+0000],GET,/portal/pga/list-ticket,HTTP/2.0,200,3540,https://services.ycab.org/
44,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:33+0000],GET,/pga/list-ticket?draw=1&columns%5B0%5D%5Bdata%5D=id&columns%5B0%5D%5Bname%5D=id&columns%5B0%5D%5Bsearchable%5D=true&columns%5B0%5D%5Borderable%5D=true&columns%5B0%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B0%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B1%5D%5Bdata%5D=summary&columns%5B1%5D%5Bname%5D=summary&columns%5B1%5D%5Bsearchable%5D=true&columns%5B1%5D%5Borderable%5D=true&columns%5B1%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B1%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B2%5D%5Bdata%5D=admin.name&columns%5B2%5D%5Bname%5D=assignee&columns%5B2%5D%5Bsearchable%5D=true&columns%5B2%5D%5Borderable%5D=true&columns%5B2%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B2%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B3%5D%5Bdata%5D=created_at&columns%5B3%5D%5Bname%5D=created&columns%5B3%5D%5Bsearchable%5D=true&columns%5B3%5D%5Borderable%5D=true&columns%5B3%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B3%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B4%5D%5Bdata%5D=updated_at&columns%5B4%5D%5Bname%5D=updated&columns%5B4%5D%5Bsearchable%5D=true&columns%5B4%5D%5Borderable%5D=true&columns%5B4%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B4%5D%5Bsearch%5D%5Bregex%5D=false&columns%5B5%5D%5Bdata%5D=status&columns%5B5%5D%5Bname%5D=status&columns%5B5%5D%5Bsearchable%5D=true&columns%5B5%5D%5Borderable%5D=true&columns%5B5%5D%5Bsearch%5D%5Bvalue%5D=&columns%5B5%5D%5Bsearch%5D%5Bregex%5D=false&order%5B0%5D%5Bcolumn%5D=0&order%5B0%5D%5Bdir%5D=desc&order%5B0%5D%5Bname%5D=id&start=0&length=10&search%5Bvalue%5D=&search%5Bregex%5D=false&ticket_status=all&_=1751106693665,HTTP/2.0,200,61,https://services.ycab.org/portal/pga/list-ticket
45,139.192.48.75,services.ycab.org,[28/Jun/2025:10:31:35+0000],GET,/service-worker.js,HTTP/2.0,304,0,https://services.ycab.org/service-worker.js
